GAP,(h0-h1)/rd,h0+h1,h2,rs,w0,w1,rd
0.1981437441,0.9641441433,65.019916427,0.4862349109,99.8890205825,32.7721430158,35.1335164117,2.4316790083
0.4558471331,1.1757610994,61.053545151,0.186932661,84.3570523994,35.5371063633,34.1700283118,2.6758087024
0.2165522435,1.0347755734,63.2602331428,0.248408168,132.8121317352,31.7944980715,35.1775969812,2.3850685587
0.5038343688,1.1298535674,64.1553626034,0.2056607577,138.1468261667,35.5764578646,39.4356589952,2.6514471146
0.263104728,0.9238953416,61.0497133705,0.6894502194,70.5379020345,31.6073853327,37.4207517253,2.8772120461
3.3812211173,0.9310620219,59.8203759891,0.7661786234,176.3858085137,30.3095180848,33.2284252841,2.2824724967
1.6243047897,0.8403291235,58.6330287999,0.4631746092,127.1686876562,37.7654211251,40.9780246125,2.2377906156
1.6184450342,1.1233991637,57.6656887467,0.3199822182,91.4155266061,37.8798467509,33.7155725816,2.3695542878
0.2473700905,0.8476498264,58.4372862989,0.6713518539,189.051633789,34.068018866,36.4308801315,2.254499085
0.209173934,1.0916386754,59.3960536343,0.0058762598,66.0989945242,33.8798588379,41.1487616849,2.1317685589
0.2358174986,1.1736758838,61.1920475727,0.8748666333,112.0978664944,33.4944385562,34.3774774566,2.8195870607
0.2038241541,1.0577792757,64.5064596326,0.1844898478,117.2682514884,32.3496488163,35.3679220113,2.1515657991
0.8281283207,1.0699659317,64.4142357043,0.569917675,74.0529498981,36.194456828,35.5209003511,2.6655332128
0.2102402206,1.1937972148,64.7553322982,0.1201850795,54.1131512465,31.8774450328,38.855641459,2.4832533648
0.9648125891,0.8097155669,63.8677598201,0.569384609,107.6482516307,36.1817932524,39.4940872614,2.3102994853
0.2424665835,0.9757252236,66.1659793556,0.3359720177,121.1249553318,30.9878747177,35.489117234,2.1158316139
0.2279479572,1.0188545692,65.1104552478,0.9751517145,107.1822053091,32.2320706917,37.1954038386,2.3088809688
1.389076865,0.9654045448,63.2268709468,0.6762213534,165.5640254875,37.4530374238,35.0474554214,2.7831862305
0.296769147,0.9273229456,59.3347680978,0.7568716532,135.8266288447,34.8222324635,39.7139782781,2.9158605317
0.2036369759,0.9608638614,64.6911337079,0.1872934849,154.9287653653,33.8712614389,33.2294985279,2.7334758352
0.2116088444,1.0890801263,64.8240775767,0.1741211459,109.0315676116,32.0184152324,36.0685570282,2.4984775518
0.1741623724,0.8568303644,65.002650856,0.1670529242,123.3112802401,32.5047458189,33,2.462345978
0.2408747056,1.1729696185,61.5802309075,0,69.9421851688,31.8690147795,39.1172663945,2.3637156209
0.2637273221,1.1006885895,63.4091261354,0.2332138125,111.7860930547,31.2717256791,35.220047571,2.8922030256
0.2915705464,1.1999998046,64.9179750849,0.8309719367,73.4462984765,30.5866810997,36.7988448726,2.7025116308
0.3416646015,1.186828244,60.5025965941,0.4391983393,133.1892869154,31.2166558602,41.213850117,2.9796021275
0.3894395358,1.1999998054,64.6720254694,0.1316567016,94.2201035762,30.188466996,41.0415602188,2.1011814881
0.2013632057,1.0820951784,62.4600372662,0.5617427258,67.2874492515,32.6159103312,34.2362635446,2.9735629484
0.2328928714,1.1999999719,60.1580982131,1,73.5914306733,33.3486357035,36.3362825698,3
0.2901770553,1.1073185306,57.4076300291,0.7319945515,200,34.669571524,38.4208216805,2.3411239849
0.6209672294,0.8000000621,64.1942083042,0.1873594679,50,30.7519822247,34.3968972833,2.3724118931
0.1769422708,1.1999994228,65.4877443177,0,180.9762335501,32.6015426928,35.2717489308,2.3794795706
0.2541989269,1.1999998491,62.0104847803,0.1132427492,52.1101608791,32.0810735561,41.4307421069,2.9136814015
0.4005136699,0.8000000334,65.7533937724,0,173.8380645082,30.513549768,40.9896559306,2.7811855778
0.2202764031,0.8647846051,61.4776981233,0.0383569301,104.8375935083,31.9987137414,36.3050330564,2.9307952584
0.2013655501,1.1999991891,62.9701641811,0,142.4741131896,33.382009735,35.2455088482,2.561257966
0.835392451,1.1159962109,63.8762567102,0.7690878591,53.0648106225,30.1535279333,41.2684986607,2.3500033401
1.8026805606,1.199999934,57.5529666792,0,50,30.8208116342,42,2.4063220741
0.1805764043,1.1874268985,61.7065084368,0,59.1226588561,34.2093447376,40.7294349157,2
0.2137665349,0.8237290359,65.8888128924,0,54.3995303802,32.8449589718,41.2445378965,3
0.234054743,0.8000001652,66.7599996696,0.0978949219,192.6476428126,32.2282007241,39.3307148017,2
0.2139864621,0.8000008249,62.1212847768,0,141.4698789277,32.8699939814,39.4948977276,2.1033595623
0.2125236367,0.8000022276,63.0992296491,0,60.3597976292,33.9607591048,38.4937524569,2.9068887767
0.2338526455,1.1000663284,63.1739837051,0.9437040097,108.7701749936,32.4933936241,34.6153555713,2.984112049
0.2422077844,1.1999999991,62.0854037644,0.4423186325,104.0264129294,32.1723041979,38.1355994967,3
0.320257386,0.8778308401,66.1090253469,0.8485316775,159.9333950775,31.3749393357,40.5430504551,2.5588745926
0.2447409721,0.8733301085,59.0233996966,0.0308545472,197.1185646207,32.8791266298,38.5365473607,2.279097918
0.2030620999,0.9337940133,64.5954617076,0.0018559534,59.5880243531,33.1748710643,40.4736810619,2.5703539929
0.2439465992,0.8000000161,58.8214119633,0.1349123079,199.9135539079,34.1197112143,38.1303876945,2.8397386163
0.3018312127,1.1999999945,60.4193827478,1,200,32.6950924292,42,3
0.3290279089,1.0356005816,65.4352890205,0.1286259863,190.7171495452,35.0185498369,34.7659276837,2.038516673
0.2289861833,0.989860179,62.6290763956,0.2014590213,199.071515361,33.22798467,39.1421149052,2.3313346456
1.1394899485,0.8054070288,58.7224553581,0.0093863455,197.6931482425,36.2130889783,36.6411448445,2.1315872868
0.2887706493,1.073013091,60.8600473083,0.3645450486,179.9308662073,32.4374036181,40.5626055074,2.6780600595
0.2638241727,0.8000000544,62.8488793971,0.0310360129,156.4403869242,31.7164916697,37.8444914027,2.5011150291
0.4063767144,0.8,66.2221803453,0.9543484148,194.0039595876,30.2935027341,40.2317144395,2.0021972837
0.2479949213,1.1999997638,61.2730041173,0,178.0581790309,33.680087418,42,3
2.4380419963,0.8223955927,57.9089136177,0.0565460836,192.0021288507,30.2651087247,40.8313798441,2.9775551487
0.2441956764,0.8000000554,60.3878481333,0.2931940637,167.1689854554,34.0556823358,37.5922175395,2.6800341362
0.2446256161,1.1469494705,62.0840614798,0.2252678688,151.0347202129,33.7169817672,41.7558031089,2.841527968
0.3071580388,1.0257677428,62.523149431,0.9873996959,124.4039630332,32.1936128035,41.9486238235,2.8135081099
0.1996737268,0.8000000377,65.1501655616,0.0421512237,95.92848764,32.1554157321,33.3574244233,2.993547068
0.2669387194,1.1999999933,64.0152361717,0.2540640518,197.307560088,32.5882753824,41.9497170496,2.9929239205
0.823116528,1,57,1,200,36.3989340952,36.1018113382,3
0.2260316031,0.8000000424,65.9599998728,0,200,32.3710870087,34.2622715244,3
0.2291118311,1.1878841987,59.758061094,0.3490450864,143.0670446468,32.9834992164,39.8597268582,2.0688768934
0.2436058298,0.9284523474,59.3278433819,0.4759379329,184.5790895098,33.1126476606,38.4131997948,2.2818312591
0.255835394,0.8892857932,60.0287193014,0.1830205046,199.6680335127,32.3292147601,40.1181426795,2.0024105403
0.1888081343,1.1999999943,65.7295544397,0.4124792885,156.7497648039,32.7498387384,36.9814814902,2.1920379774
0.2076544109,1.1999999808,61.6064544985,0.0370368948,120.8177983151,32.5994252184,34.1195784282,2.9487864293
0.2339427905,1.1667059209,62.1014920347,0.0377347287,194.6006732169,34.3314890714,39.2561271832,2.814982397
0.2746233844,0.892487411,60.9931714903,0.8031217051,132.5781005124,32.534565398,39.6719112078,2.9682791385
0.2328344628,1.199999949,59.8858712755,0.4532200783,94.6164649069,33.9121044223,37.4749965553,2.7262633411
